epoch,train_loss,train_top1,train_top5,eval_loss,eval_top1,eval_top5,lr
0,1.2922160826372298,42.047050561797754,100.0,1.1836876884659768,49.656750467330966,100.0,1e-05
1,1.2592830590987474,43.99578651685393,100.0,1.1036438684623537,53.089244804702396,100.0,0.000108
2,1.1559746533297421,51.80828651685393,100.0,0.9119541977854015,61.93745234974644,100.0,0.000206
3,1.0748234786344377,58.268960674157306,100.0,0.8274592648108983,68.19221955742388,100.0,0.000304
4,1.035204772868853,60.27036516853933,100.0,0.7635855705659867,72.99771167630007,100.0,0.000402
5,0.9842245746194647,63.95716292134831,100.0,0.7563685125335312,67.88710904212329,100.0,0.0004996573836886434
6,0.9397861944155746,66.39747191011236,100.0,0.6681159105035388,74.06559874464045,100.0,0.0004995066821070679
7,0.8758782489915912,70.66362359550561,100.0,0.6188718749311114,76.81159406323,100.0,0.0004993286193061145
8,0.880926397409332,70.80407303370787,100.0,0.6192611346346654,77.42181530333401,100.0,0.0004991232148123761
9,0.8356029853392183,73.10393258426966,100.0,0.5387013334067698,81.08314255191387,100.0,0.00049889049115077
10,0.812823266795512,74.47331460674157,100.0,0.5389544688773282,81.15942015018652,100.0,0.0004986304738420684
11,0.8017760823281963,75.19311797752809,100.0,0.5687680570657339,78.41342479667983,100.0,0.000498343191400099
12,0.7851469295748165,76.36938202247191,100.0,0.5961180435710968,77.7269259408446,100.0,0.0004980286753286195
13,0.7812319900212663,76.36938202247191,100.0,0.5156744829940941,80.62547663056515,100.0,0.0004976869601178609
14,0.7587208359429006,77.14185393258427,100.0,0.48734110348284654,83.60030502330974,100.0,0.0004973180832407472
15,0.7578041352582782,77.7563202247191,100.0,0.621706493750135,76.12509530341688,100.0,0.0004969220851487844
16,0.7534143542975522,78.01966292134831,100.0,0.5404254822536427,79.02364603678386,100.0,0.0004964990092676262
17,0.7536663352773431,77.70365168539325,100.0,0.5615190302570934,82.9138061674745,100.0,0.0004960489019923105
18,0.7490638059176756,78.14255617977528,100.0,0.49851481083419646,82.91380618493308,100.0,0.0004955718126821722
19,0.733695393867707,78.96769662921348,100.0,0.4871886568520471,84.210526321609,100.0,0.0004950677936554305
20,0.7331676945257722,78.80969101123596,100.0,0.45475785805922625,84.97330278735593,100.0,0.0004945369001834514
21,0.7226216317562575,79.56460674157303,100.0,0.4759954591910408,83.67658263904097,100.0,0.0004939791904846869
22,0.7094283050365662,80.7057584269663,100.0,0.4653471993818072,83.52402733774426,100.0,0.0004933947257182901
23,0.734635005506237,79.07303370786516,100.0,0.43313129792951793,85.12585808865266,100.0,0.000492783569977409
24,0.7072653348526258,80.40730337078652,100.0,0.4843862725977312,83.60030507568545,100.0,0.0004921457902821578
25,0.6993569256214613,80.81109550561797,100.0,0.42952784720856574,85.2784133201151,100.0,0.0004914814565722671
26,0.6952371028032196,81.09199438202248,100.0,0.4570969463667735,84.05797090974134,100.0,0.0004907906416994146
27,0.7085737525747063,80.49508426966293,100.0,0.421908406152878,85.73607927638096,100.0,0.0004900734214192358
28,0.6936935193083259,81.56601123595506,100.0,0.3965179771525909,86.49885574794743,100.0,0.0004893298743830168
29,0.6989924130814799,80.89887640449439,100.0,0.44773191540955953,85.27841338994938,100.0,0.0004885600821290692
30,0.690751490967997,81.25,100.0,0.4798682814195445,83.60030507568545,100.0,0.0004877641290737884
31,0.682326743442021,81.39044943820225,100.0,0.42835351022302787,84.66819216730393,100.0,0.00048694210250239646
